BEAMS
BinSize:0.625,Temperature:39.500K,Field:0.000G,Sample:nano-Mn3O4,Orientation:powder,NumBins:16384,NumHists:5,RunNumber:7387,Title:nano-Mn3O4 zero field
Forward,Backward,Up,Down,Right
1083,1446,1926,1829,301
1201,1511,1958,1842,338
1145,1412,1849,1790,306
1163,1411,1890,1811,322
1159,1513,1912,1779,328
1124,1481,1909,1877,345
1138,1412,2031,1809,331
1065,1543,1924,1797,313
1070,1542,1885,1867,313
1108,1423,1828,1824,310
1082,1426,1988,1814,343
1175,1426,1936,1906,295
1087,1489,1943,1811,316
1114,1496,1919,1841,300
1144,1527,1930,1828,327
1088,1544,1953,1823,299
1158,1487,1974,1801,321
1122,1474,1955,1760,312
1094,1428,2019,1723,312
1144,1511,1895,1813,313
1139,1482,2012,1814,348
1147,1457,1897,1804,300
1133,1429,1851,1838,303
1154,1414,2011,1857,315
1118,1515,1876,1858,296
1083,1427,1931,1809,305
1087,1462,1870,1784,290
1139,1478,1925,1783,297
1130,1485,1953,1851,306
1096,1503,1872,1827,320
1160,1420,1869,1673,313
1140,1489,1831,1873,318
1089,1451,1831,1829,317
1088,1447,1936,1869,318
1120,1456,1858,1774,347
1074,1530,1868,1859,295
1111,1492,1873,1759,331
1151,1434,1910,1811,328
1057,1446,1959,1845,283
1103,1474,1935,1841,337
1113,1527,1891,1817,339
1118,1456,1910,1851,306
1081,1470,1904,1820,287
1134,1428,1876,1779,337
1131,1467,1890,1815,289
1147,1499,1863,1854,329
1065,1409,1944,1806,289
1069,1454,1922,1821,291
1102,1490,1957,1708,304
1128,1502,1930,1809,322
1132,1462,1884,1761,331
1092,1529,1960,1705,326
1036,1445,1880,1843,330
1114,1503,1932,1842,302
1151,1478,1853,1923,343
1136,1439,1959,1875,288
1193,1372,1953,1771,320
1075,1423,1831,1849,332
1112,1444,1910,1839,325
1122,1471,1953,1819,307
1111,1463,1894,1834,312
1105,1462,1881,1779,328
1159,1510,1889,1814,329
1085,1394,1894,1779,303
1076,1511,1817,1725,280
1138,1436,1913,1775,328
1124,1449,1964,1833,334
1117,1435,1878,1770,345
1056,1439,1898,1780,317
1100,1421,1891,1826,331
1117,1531,1877,1766,315
1133,1476,1807,1759,323
1124,1451,1929,1692,326
1103,1488,1905,1758,317
1114,1471,1943,1793,300
1063,1400,1900,1726,324
1143,1435,1905,1820,294
1136,1425,1913,1793,297
1113,1436,1861,1860,342
1120,1377,1843,1815,309
1090,1387,1870,1748,312
1093,1408,1920,1715,322
1126,1391,1892,1810,312
1148,1424,1925,1783,325
1050,1453,1883,1798,307
